Id,Time,Clipped Edges,HipCenter,Spine,ShoulderCenter,Head,ShoulderLeft,ElbowLeft,WristLeft,HandLeft,ShoulderRight,ElbowRight,WristRight,HandRight,HipLeft,KneeLeft,AnkleLeft,FootLeft,HipRight,KneeRight,AnkleRight,Class
18,0.5453874,-0.3024245,-0.3015903,-0.2873372,-0.2715543,-0.4679521,-0.5255952,-0.5504776,-0.5535879,-0.1177054,-0.07820557,-0.04912946,-0.0435022,-0.3841913,-0.4526088,-0.4331901,-0.4017076,-0.2267573,-0.2176783,-0.2210749,-0.2256686,1
19,0.5744078,-0.302539,-0.3016185,-0.2870373,-0.2717866,-0.468076,-0.5260103,-0.5509924,-0.5533481,-0.1179184,-0.07823836,-0.04914598,-0.04310523,-0.3842398,-0.448993,-0.3548354,-0.4282047,-0.2268896,-0.218304,-0.2218919,-0.2312349,1
20,0.6204405,-0.3026554,-0.3016431,-0.2868689,-0.2721169,-0.4687979,-0.526559,-0.5512028,-0.5531851,-0.1181446,-0.07832405,-0.0493133,-0.04294773,-0.3843299,-0.4470646,-0.3794359,-0.4017251,-0.2270215,-0.219402,-0.2104331,-0.2299578,1
21,0.6434572,-0.3027555,-0.3016578,-0.2867864,-0.2721733,-0.4695259,-0.5269374,-0.5748134,-0.5761486,-0.1183614,-0.07858681,-0.04946048,-0.04282904,-0.3843721,-0.4476652,-0.3472568,-0.3993825,-0.2271581,-0.2200288,-0.2200096,-0.2292447,1
22,0.6824846,-0.3028647,-0.301686,-0.286732,-0.272292,-0.4698149,-0.5270193,-0.5651093,-0.5689068,-0.1185552,-0.078829,-0.04949564,-0.04272907,-0.3844222,-0.4510403,-0.3928314,-0.4301053,-0.2273109,-0.217714,-0.2077475,-0.2302002,1
23,0.7235135,-0.3029826,-0.3017121,-0.2867122,-0.2732889,-0.4700584,-0.5269318,-0.5614988,-0.5661011,-0.1190382,-0.07921871,-0.04957484,-0.04263934,-0.3844682,-0.4511234,-0.3779776,-0.4344522,-0.2274954,-0.217893,-0.2159464,-0.2471327,1
24,0.7615406,-0.3030854,-0.3017322,-0.2867064,-0.2736546,-0.4702531,-0.527005,-0.5738895,-0.5730047,-0.1194696,-0.0795397,-0.04977249,-0.04260177,-0.3844948,-0.4513056,-0.3482882,-0.4332455,-0.2276679,-0.2183362,-0.2067132,-0.2273718,1
25,0.7885611,-0.303403,-0.3017965,-0.2867268,-0.2739358,-0.4714281,-0.5268317,-0.558569,-0.5650998,-0.1198289,-0.07976884,-0.04996701,-0.04251525,-0.3850732,-0.4513738,-0.3539919,-0.4511092,-0.2279668,-0.2187485,-0.2020867,-0.2321225,1
26,0.8215833,-0.3036644,-0.3018512,-0.286784,-0.2741952,-0.4723321,-0.5266341,-0.5555606,-0.5633132,-0.1201646,-0.07997427,-0.05016476,-0.04248276,-0.3855351,-0.4511805,-0.3431889,-0.4452757,-0.2281178,-0.2192235,-0.2227923,-0.2343441,1
27,0.8466024,-0.3039336,-0.3019441,-0.2870161,-0.2744426,-0.472919,-0.5261378,-0.5537521,-0.561723,-0.1204234,-0.08012947,-0.05047336,-0.04255569,-0.3859811,-0.4509481,-0.3796855,-0.4233238,-0.2282549,-0.2194977,-0.2107848,-0.2317736,1
28,0.8766243,-0.3041185,-0.3020698,-0.2872905,-0.2746305,-0.4728196,-0.5260606,-0.5509711,-0.5577732,-0.1205688,-0.08030532,-0.05082311,-0.04266964,-0.3862049,-0.4507163,-0.4100986,-0.4149541,-0.2283748,-0.2196552,-0.2211485,-0.2431335,1
29,0.9266582,-0.3042719,-0.3021585,-0.2875775,-0.2748778,-0.473056,-0.5259673,-0.5499635,-0.5556968,-0.1206802,-0.08046108,-0.05126452,-0.04274877,-0.3863773,-0.4497088,-0.4085472,-0.4134344,-0.2284669,-0.2209451,-0.2243958,-0.2264719,1
30,0.9576816,-0.3043588,-0.3022244,-0.2878206,-0.2751601,-0.4731962,-0.5258447,-0.5494421,-0.5544924,-0.1207658,-0.08057077,-0.05159147,-0.04284583,-0.3864722,-0.4489032,-0.3537989,-0.3849345,-0.2284975,-0.2218567,-0.2269782,-0.2282477,1
31,0.9836996,-0.304422,-0.3022876,-0.288066,-0.2753625,-0.4733186,-0.5257173,-0.5490946,-0.5536858,-0.1208574,-0.08066014,-0.05188648,-0.04289285,-0.3865352,-0.4484259,-0.3695039,-0.3916406,-0.2285196,-0.2224784,-0.2057194,-0.2216779,1
32,1.010718,-0.3044903,-0.3023673,-0.2883014,-0.2755084,-0.4734366,-0.5256742,-0.5489684,-0.5532299,-0.1209103,-0.0807288,-0.05209804,-0.0429715,-0.3866056,-0.4492687,-0.342158,-0.4073309,-0.2285315,-0.2229339,-0.205666,-0.2302654,1
33,1.0467441,-0.3045784,-0.3024594,-0.2885722,-0.2756689,-0.4736201,-0.5254109,-0.5490686,-0.5529248,-0.1209538,-0.08071727,-0.05218714,-0.04303777,-0.3867078,-0.4506329,-0.3348011,-0.4255467,-0.2285438,-0.2232524,-0.2139582,-0.2229955,1
34,1.0717611,-0.3046655,-0.3025509,-0.2888149,-0.2758659,-0.4739094,-0.5249365,-0.5492606,-0.5526634,-0.1209514,-0.08066683,-0.05209786,-0.04303267,-0.3868214,-0.4499848,-0.3927524,-0.4163662,-0.2285556,-0.2235463,-0.2007688,-0.226103,1
35,1.1167934,-0.3047448,-0.3026358,-0.2890348,-0.2759246,-0.4741297,-0.524609,-0.5465196,-0.5502738,-0.120926,-0.08054276,-0.05208253,-0.0430047,-0.3869263,-0.4496458,-0.3694103,-0.402456,-0.2285672,-0.2236148,-0.1982002,-0.2259635,1
36,1.1548221,-0.30472,-0.3026612,-0.289166,-0.2760202,-0.473289,-0.5243053,-0.5468289,-0.5497966,-0.1208382,-0.08031112,-0.05264369,-0.04373385,-0.3867955,-0.4458825,-0.3582907,-0.3944527,-0.2285419,-0.2235388,-0.1977847,-0.2176231,1
37,1.1808395,-0.3046916,-0.3026695,-0.2892536,-0.27597,-0.4730547,-0.5241997,-0.5441142,-0.5479574,-0.1206404,-0.08014794,-0.05217595,-0.04369054,-0.3866937,-0.4468141,-0.4047416,-0.4134417,-0.2285129,-0.2056634,-0.2022091,-0.2266578,1
38,1.2178655,-0.3043942,-0.3026202,-0.2892178,-0.2757111,-0.4672135,-0.5235237,-0.5424677,-0.5465186,-0.1204177,-0.07998522,-0.05118422,-0.04355229,-0.3862156,-0.4415316,-0.3516839,-0.3846149,-0.2282731,-0.2011738,-0.2031066,-0.2285475,1
39,1.2609018,-0.3041072,-0.3024818,-0.289196,-0.2754151,-0.4657495,-0.519599,-0.5418881,-0.5457994,-0.1199379,-0.07942516,-0.05003081,-0.0432906,-0.3857884,-0.4415929,-0.327526,-0.3887148,-0.2280376,-0.198653,-0.2029559,-0.227529,1
40,1.3019334,-0.3035266,-0.301824,-0.2886923,-0.2748069,-0.4649798,-0.5144953,-0.5412329,-0.5450572,-0.1190096,-0.07894842,-0.04892133,-0.04305957,-0.3852941,-0.4418128,-0.482613,-0.5240062,-0.226833,-0.197515,-0.2028503,-0.2265777,1
41,1.3499589,-0.3003946,-0.2979187,-0.2829137,-0.2709064,-0.4639469,-0.506433,-0.5354896,-0.5410756,-0.1160875,-0.07410723,-0.03618767,-0.0349748,-0.3829008,-0.4400007,-0.4410812,-0.4529821,-0.2230806,-0.1991757,-0.20065,-0.2336409,1
42,1.3859851,-0.2962553,-0.2933851,-0.2745155,-0.2667485,-0.4627855,-0.5041369,-0.5180061,-0.5304404,-0.1086585,-0.06728566,-0.03443494,-0.03302851,-0.3794482,-0.4386553,-0.4529004,-0.4421658,-0.2195733,-0.1977986,-0.201755,-0.2503285,1
43,1.4140061,-0.2924807,-0.2892988,-0.2677041,-0.260205,-0.4586837,-0.50278,-0.5182042,-0.5284665,-0.1037295,-0.06119148,-0.03338545,-0.03127157,-0.3762836,-0.4217827,-0.4952125,-0.4460427,-0.2164049,-0.1969007,-0.2030269,-0.2388934,1
44,1.4430253,-0.2878913,-0.2849266,-0.262373,-0.2544739,-0.4394958,-0.5017262,-0.5568615,-0.5730464,-0.09846804,-0.05602812,-0.02383862,-0.02963769,-0.3721539,-0.4184771,-0.4987255,-0.4411467,-0.2124626,-0.1963925,-0.2038371,-0.2180341,1
45,1.5000672,-0.2838389,-0.2812514,-0.2591636,-0.247523,-0.4322875,-0.4933795,-0.5680164,-0.5932668,-0.09464463,-0.05131189,-0.01666699,-0.02597864,-0.3672432,-0.4179506,-0.4700686,-0.414227,-0.2087858,-0.1957884,-0.2043318,-0.2129031,1
46,1.5430976,-0.279397,-0.2768955,-0.2551629,-0.2435283,-0.4265616,-0.4872659,-0.5772527,-0.6085654,-0.08975967,-0.04561209,-0.01195393,-0.01957925,-0.3627158,-0.4166725,-0.4706573,-0.4013246,-0.2043118,-0.1953312,-0.2050425,-0.2201224,1
47,1.5831249,-0.2734757,-0.2711292,-0.2469687,-0.2379179,-0.4185608,-0.4797682,-0.5538357,-0.5547092,-0.08180217,-0.03079795,0.002983997,0.008346941,-0.3562789,-0.4135539,-0.4258334,-0.3975584,-0.1991893,-0.1923955,-0.204785,-0.241309,1
48,1.6261553,-0.2660386,-0.2634537,-0.237455,-0.223496,-0.4117796,-0.4744341,-0.5484475,-0.5336782,-0.07515415,-0.02111878,0.01340944,0.0167762,-0.3491926,-0.4098305,-0.4133671,-0.4043329,-0.1922623,-0.1870691,-0.2047362,-0.2429957,1
